actual_cost	list_price_estimate_usd	requested_model	responding_model	status	task	ts	usd
subscription; billed cost unavailable	0.08443500000000001	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	running-plan-refresh-173	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	3.633225	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	p1-independent-inspect-174	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	4.68637	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	p1-independent-inspect-174b	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.52527	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	capture-store-fixture-175	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.46859500000000004	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	capture-store-fixture-175b	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.14654900000000004	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	gate-full-results-doc-176	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.106452	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	full-verification-update-177	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	1.060775	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	completion-evidence-audit-180	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.168746	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	status-doc-reconcile-181	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.205285	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	final-regression-docs-182	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.569722	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	historical-status-docs-183	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	0.545986	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	historical-status-docs-183b	2026-09-12T04:39:35.725516+00:00	0
subscription; billed cost unavailable	2.5202985	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	ux-input-contract-audit-185	2026-09-12T05:38:09.330021+00:00	0
subscription; billed cost unavailable	0.738068	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	ux-design-plan-186	2026-09-12T05:38:09.330021+00:00	0
subscription; billed cost unavailable	0.8775329999999999	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	ux-kb-visual-build-187	2026-09-12T05:38:09.330021+00:00	0
subscription; billed cost unavailable	1.090872	sonnet	claude-sonnet-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	ux-kb-visual-build-187b	2026-09-12T05:38:09.330021+00:00	0
subscription; billed cost unavailable	1.317072	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	ux-campaign-backend-repair-189	2026-09-12T05:38:09.330021+00:00	0
subscription; billed cost unavailable	2.219581	opus	claude-opus-5	assistant JSONL verified; CLI estimate includes auxiliary or resumed-session usage; usd0 placeholder	ux-create-recovery-backend-190	2026-09-12T05:38:09.330021+00:00	0
subscription; billed cost unavailable		opus	claude-opus-5	verified claude-opus-5; TIMEOUT1200sec exit1; complete assistant diff salvaged, not successful worker completion; billed/estimate unavailable	ux-form-workflow-build-188	2026-09-12T05:47:26.093297+00:00	0
subscription; billed cost unavailable	0	opus	<synthetic>	weekly-limit refusal; synthetic sentinel, no verified model response; user-authorized Codex fallback	ux-create-recovery-ui-191	2026-09-12T05:47:26.093297+00:00	0
subscription; billed cost unavailable		gpt-5.6-sol	<unverified>	native worker configured; partial capacity failure; responding identity, usage, and billing not JSONL verified	ux-create-recovery-ui-191c	2026-09-12T06:41:25Z	0
subscription; billed cost unavailable		gpt-5.6-sol	<unverified>	native read-only review and bounded repairs; responding identity, usage, and billing not JSONL verified	ux-review-repair-192c-195c-198c	2026-09-12T06:41:25Z	0
subscription; billed cost unavailable		gpt-5.6-terra	<unverified>	native UI layout and state repairs; responding identity, usage, and billing not JSONL verified	ux-layout-polish-193c-194c-196c-201c-203c-206c	2026-09-12T06:41:25Z	0
subscription; billed cost unavailable		gpt-5.6-terra	<unverified>	native recovery/test mapping and final documentation; responding identity, usage, and billing not JSONL verified	ux-recovery-finish-197c-199c-204c	2026-09-12T06:41:25Z	0
subscription; billed cost unavailable		gpt-5.6-terra	<unverified>	native independent review and diagnosis; responding identity, usage, and billing not JSONL verified	ux-independent-review-199c-207c	2026-09-12T06:41:25Z	0
subscription; billed cost unavailable		gpt-5.6-terra	<unverified>	native workflow and cache cross-review; responding identity, usage, and billing not JSONL verified	ux-workflow-review-200c-201c-203c	2026-09-12T06:41:25Z	0
subscription; billed cost unavailable		gpt-5.6-terra	<unverified>	native coordination completion; configured model only; responding identity, usage, and billing not JSONL verified	ux-coordination-210c-213c	2026-09-12T06:48:18Z	0
